#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
840	0.04126	0.2
841	0.0414	0.2
842	0.04154	0.2
843	0.04179	0.2
844	0.04194	0.2
845	0.04154	0.2
846	0.04162	0.2
847	0.04191	0.2
848	0.04179	0.2
849	0.04037	0.2
850	0.04021	0.2
851	0.04014	0.2
852	0.04068	0.2
853	0.04147	0.2
854	0.04136	0.2
855	0.04139	0.2
856	0.0418	0.2
857	0.04213	0.2
858	0.04189	0.2
859	0.04066	0.2
860	0.03929	0.2
861	0.03999	0.2
862	0.04003	0.2
863	0.03998	0.2
864	0.04004	0.2
865	0.04062	0.2
866	0.04013	0.2
867	0.0392	0.2
868	0.03892	0.2
869	0.0391	0.2
870	0.03888	0.2
871	0.03952	0.2
872	0.04005	0.2
873	0.03988	0.2
874	0.04061	0.2
875	0.04129	0.2
876	0.04222	0.2
877	0.04206	0.2
878	0.04164	0.2
879	0.04131	0.2
880	0.041	0.2
881	0.04139	0.2
882	0.04175	0.2
883	0.04123	0.2
884	0.04079	0.2
885	0.04103	0.2
886	0.04096	0.2
887	0.04141	0.2
888	0.04187	0.2
889	0.04235	0.2
890	0.0418	0.2
891	0.04091	0.2
892	0.04087	0.2
893	0.03986	0.2
894	0.03898	0.2
895	0.04019	0.2
896	0.04176	0.2
897	0.04126	0.2
898	0.04044	0.2
899	0.04	0.2
900	0.03975	0.2
901	0.04043	0.2
902	0.04127	0.2
903	0.04227	0.2
904	0.04168	0.2
905	0.04085	0.2
906	0.04082	0.2
907	0.04021	0.2
908	0.03933	0.2
909	0.03885	0.2
910	0.03891	0.2
911	0.04028	0.2
912	0.04079	0.2
913	0.04067	0.2
914	0.03958	0.2
915	0.03916	0.2
916	0.03908	0.2
917	0.04032	0.2
918	0.03993	0.2
919	0.03897	0.2
920	0.03855	0.2
921	0.03882	0.2
922	0.03846	0.2
923	0.03787	0.2
924	0.03802	0.2
925	0.0394	0.2
926	0.04113	0.2
927	0.04286	0.2
928	0.04137	0.2
929	0.04078	0.2
930	0.04216	0.2
931	0.04253	0.2
932	0.04235	0.2
933	0.04056	0.2
934	0.03916	0.2
935	0.03886	0.2
936	0.03925	0.2
937	0.04091	0.2
938	0.0415	0.2
939	0.04252	0.2
940	0.04284	0.2
941	0.0427	0.2
942	0.04258	0.2
943	0.04197	0.2
944	0.04161	0.2
945	0.04141	0.2
946	0.04382	0.2
947	0.04628	0.2
948	0.04377	0.2
949	0.04287	0.2
950	0.0418	0.2
951	0.04221	0.2
952	0.04213	0.2
953	0.04038	0.2
954	0.03882	0.2
955	0.03876	0.2
956	0.03934	0.2
957	0.03863	0.2
958	0.03908	0.2
959	0.04006	0.2
960	0.03904	0.2
961	0.03887	0.2
962	0.03896	0.2
963	0.03776	0.2
964	0.03783	0.2
965	0.03982	0.2
966	0.04073	0.2
967	0.03966	0.2
968	0.03906	0.2
969	0.03921	0.2
970	0.03909	0.2
971	0.03909	0.2
972	0.03987	0.2
973	0.04041	0.2
974	0.04145	0.2
975	0.04259	0.2
976	0.04169	0.2
977	0.04088	0.2
978	0.04133	0.2
979	0.04178	0.2
980	0.04167	0.2
981	0.04129	0.2
982	0.04101	0.2
983	0.04049	0.2
984	0.03852	0.2
985	0.03704	0.2
986	0.03952	0.2
987	0.04199	0.2
988	0.04333	0.2
989	0.04489	0.2
990	0.04372	0.2
991	0.04311	0.2
992	0.04349	0.2
993	0.04228	0.2
994	0.04193	0.2
995	0.04271	0.2
996	0.04222	0.2
997	0.04145	0.2
998	0.04162	0.2
999	0.04159	0.2
1000	0.04072	0.2
1001	0.0408	0.2
1002	0.04173	0.2
1003	0.04175	0.2
1004	0.04211	0.2
1005	0.04271	0.2
1006	0.04331	0.2
1007	0.0442	0.2
1008	0.04443	0.2
1009	0.04449	0.2
1010	0.04511	0.2
1011	0.04517	0.2
1012	0.04468	0.2
1013	0.04551	0.2
1014	0.04586	0.2
1015	0.04488	0.2
1016	0.04465	0.2
1017	0.04503	0.2
1018	0.04405	0.2
1019	0.04314	0.2
1020	0.0424	0.2
1021	0.04136	0.2
1022	0.04081	0.2
1023	0.0404	0.2
1024	0.04122	0.2
1025	0.0427	0.2
1026	0.04357	0.2
1027	0.04384	0.2
1028	0.04398	0.2
1029	0.04371	0.2
1030	0.04321	0.2
1031	0.04371	0.2
1032	0.04471	0.2
1033	0.04426	0.2
1034	0.04288	0.2
1035	0.04283	0.2
1036	0.0436	0.2
1037	0.04467	0.2
1038	0.04557	0.2
1039	0.04624	0.2
1040	0.04711	0.2
1041	0.04755	0.2
1042	0.04793	0.2
1043	0.04924	0.2
1044	0.05122	0.2
1045	0.05242	0.2
1046	0.05257	0.2
1047	0.05187	0.2
1048	0.04927	0.2
1049	0.04779	0.2
1050	0.04885	0.2
1051	0.04895	0.2
1052	0.04808	0.2
1053	0.04872	0.2
1054	0.05006	0.2
1055	0.04984	0.2
1056	0.04794	0.2
1057	0.0469	0.2
1058	0.04774	0.2
1059	0.04805	0.2
1060	0.04755	0.2
1061	0.047	0.2
1062	0.04586	0.2
1063	0.04522	0.2
1064	0.04474	0.2
1065	0.04379	0.2
1066	0.04343	0.2
1067	0.04327	0.2
1068	0.04059	0.2
1069	0.03978	0.2
1070	0.03971	0.2
1071	0.0418	0.2
1072	0.04338	0.2
1073	0.04329	0.2
1074	0.04288	0.2
1075	0.04249	0.2
1076	0.04265	0.2
1077	0.04312	0.2
1078	0.04297	0.2
1079	0.04107	0.2
1080	0.04123	0.2
1081	0.0404	0.2
1082	0.04011	0.2
1083	0.04133	0.2
1084	0.0413	0.2
1085	0.04184	0.2
