	#Depth	Thinning	uncertainty %
2.545000000000000000e+02	8.775899999999999812e-01	0.0362857142857143	
2.555000000000000000e+02	8.772100000000000453e-01	0.0364285714285715	
2.565000000000000000e+02	8.768200000000000438e-01	0.0365714285714286	
2.575000000000000000e+02	8.764399999999999968e-01	0.0367142857142858	
2.585000000000000000e+02	8.760599999999999499e-01	0.0368571428571429	
2.595000000000000000e+02	8.756699999999999484e-01	0.0370000000000001	
2.605000000000000000e+02	8.752900000000000125e-01	0.0371428571428572	
2.615000000000000000e+02	8.749099999999999655e-01	0.0372857142857144	
2.625000000000000000e+02	8.745199999999999640e-01	0.0374285714285715	
2.635000000000000000e+02	8.741400000000000281e-01	0.0375714285714286	
2.645000000000000000e+02	8.737599999999999811e-01	0.0377142857142858	
2.655000000000000000e+02	8.733800000000000452e-01	0.0378571428571429	
2.665000000000000000e+02	8.729900000000000437e-01	0.0380000000000001	
2.675000000000000000e+02	8.726099999999999968e-01	0.0381428571428572	
2.685000000000000000e+02	8.722299999999999498e-01	0.0382857142857144	
2.695000000000000000e+02	8.718399999999999483e-01	0.0384285714285715	
2.705000000000000000e+02	8.714600000000000124e-01	0.0385714285714287	
